detector,num_keypoints,neighb_size_mean,neighb_size_var,image_num
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
FAST,419,7,0,0
FAST,427,7,0,1
FAST,404,7,0,2
FAST,423,7,0,3
FAST,386,7,0,4
FAST,414,7,0,5
FAST,418,7,0,6
FAST,406,7,0,7
FAST,396,7,0,8
FAST,401,7,0,9
FAST,419,7,0,0
FAST,427,7,0,1
FAST,404,7,0,2
FAST,423,7,0,3
FAST,386,7,0,4
FAST,414,7,0,5
FAST,418,7,0,6
FAST,406,7,0,7
FAST,396,7,0,8
FAST,401,7,0,9
FAST,419,7,0,0
FAST,427,7,0,1
FAST,404,7,0,2
FAST,423,7,0,3
FAST,386,7,0,4
FAST,414,7,0,5
FAST,418,7,0,6
FAST,406,7,0,7
FAST,396,7,0,8
FAST,401,7,0,9
FAST,419,7,0,0
FAST,427,7,0,1
FAST,404,7,0,2
FAST,423,7,0,3
FAST,386,7,0,4
FAST,414,7,0,5
FAST,418,7,0,6
FAST,406,7,0,7
FAST,396,7,0,8
FAST,401,7,0,9
FAST,419,7,0,0
FAST,427,7,0,1
FAST,404,7,0,2
FAST,423,7,0,3
FAST,386,7,0,4
FAST,414,7,0,5
FAST,418,7,0,6
FAST,406,7,0,7
FAST,396,7,0,8
FAST,401,7,0,9
BRISK,264,21.5492,212.496,0
BRISK,282,21.7853,212.129,1
BRISK,282,21.6509,191.029,2
BRISK,277,20.3582,159.23,3
BRISK,297,22.5911,220.702,4
BRISK,279,22.9442,249.964,5
BRISK,289,21.8014,215.379,6
BRISK,272,22.1472,226.018,7
BRISK,266,22.5558,230.701,8
BRISK,254,22.0389,215.124,9
BRISK,264,21.5492,212.496,0
BRISK,282,21.7853,212.129,1
BRISK,282,21.6509,191.029,2
BRISK,277,20.3582,159.23,3
BRISK,297,22.5911,220.702,4
BRISK,279,22.9442,249.964,5
BRISK,289,21.8014,215.379,6
BRISK,272,22.1472,226.018,7
BRISK,266,22.5558,230.701,8
BRISK,254,22.0389,215.124,9
BRISK,264,21.5492,212.496,0
BRISK,282,21.7853,212.129,1
BRISK,282,21.6509,191.029,2
BRISK,277,20.3582,159.23,3
BRISK,297,22.5911,220.702,4
BRISK,279,22.9442,249.964,5
BRISK,289,21.8014,215.379,6
BRISK,272,22.1472,226.018,7
BRISK,266,22.5558,230.701,8
BRISK,254,22.0389,215.124,9
BRISK,264,21.5492,212.496,0
BRISK,282,21.7853,212.129,1
BRISK,282,21.6509,191.029,2
BRISK,277,20.3582,159.23,3
BRISK,297,22.5911,220.702,4
BRISK,279,22.9442,249.964,5
BRISK,289,21.8014,215.379,6
BRISK,272,22.1472,226.018,7
BRISK,266,22.5558,230.701,8
BRISK,254,22.0389,215.124,9
BRISK,264,21.5492,212.496,0
BRISK,282,21.7853,212.129,1
BRISK,282,21.6509,191.029,2
BRISK,277,20.3582,159.23,3
BRISK,297,22.5911,220.702,4
BRISK,279,22.9442,249.964,5
BRISK,289,21.8014,215.379,6
BRISK,272,22.1472,226.018,7
BRISK,266,22.5558,230.701,8
BRISK,254,22.0389,215.124,9
ORB,92,57.0723,661.073,0
ORB,102,57.2273,680.589,1
ORB,106,56.4948,672.109,2
ORB,113,55.1436,629.784,3
ORB,109,56.7442,625.649,4
ORB,125,56.6367,596.796,5
ORB,130,56.7683,646.396,6
ORB,129,55.4296,611.86,7
ORB,127,54.6723,638.084,8
ORB,128,54.3886,560.291,9
ORB,92,57.0723,661.073,0
ORB,102,57.2273,680.589,1
ORB,106,56.4948,672.109,2
ORB,113,55.1436,629.784,3
ORB,109,56.7442,625.649,4
ORB,125,56.6367,596.796,5
ORB,130,56.7683,646.396,6
ORB,129,55.4296,611.86,7
ORB,127,54.6723,638.084,8
ORB,128,54.3886,560.291,9
ORB,92,57.0723,661.073,0
ORB,102,57.2273,680.589,1
ORB,106,56.4948,672.109,2
ORB,113,55.1436,629.784,3
ORB,109,56.7442,625.649,4
ORB,125,56.6367,596.796,5
ORB,130,56.7683,646.396,6
ORB,129,55.4296,611.86,7
ORB,127,54.6723,638.084,8
ORB,128,54.3886,560.291,9
ORB,92,57.0723,661.073,0
ORB,102,57.2273,680.589,1
ORB,106,56.4948,672.109,2
ORB,113,55.1436,629.784,3
ORB,109,56.7442,625.649,4
ORB,125,56.6367,596.796,5
ORB,130,56.7683,646.396,6
ORB,129,55.4296,611.86,7
ORB,127,54.6723,638.084,8
ORB,128,54.3886,560.291,9
ORB,92,57.0723,661.073,0
ORB,102,57.2273,680.589,1
ORB,106,56.4948,672.109,2
ORB,113,55.1436,629.784,3
ORB,109,56.7442,625.649,4
ORB,125,56.6367,596.796,5
ORB,130,56.7683,646.396,6
ORB,129,55.4296,611.86,7
ORB,127,54.6723,638.084,8
ORB,128,54.3886,560.291,9
AKAZE,166,7.72917,15.3807,0
AKAZE,157,7.4902,12.4226,1
AKAZE,161,7.45211,12.6221,2
AKAZE,155,7.57522,11.9644,3
AKAZE,163,7.73319,11.8184,4
AKAZE,164,7.68803,11.4138,5
AKAZE,173,7.73878,11.7812,6
AKAZE,175,7.82613,12.3183,7
AKAZE,177,7.81555,12.2047,8
AKAZE,179,7.88575,12.9699,9
AKAZE,166,7.72917,15.3807,0
AKAZE,157,7.4902,12.4226,1
AKAZE,161,7.45211,12.6221,2
AKAZE,155,7.57522,11.9644,3
AKAZE,163,7.73319,11.8184,4
AKAZE,164,7.68803,11.4138,5
AKAZE,173,7.73878,11.7812,6
AKAZE,175,7.82613,12.3183,7
AKAZE,177,7.81555,12.2047,8
AKAZE,179,7.88575,12.9699,9
AKAZE,166,7.72917,15.3807,0
AKAZE,157,7.4902,12.4226,1
AKAZE,161,7.45211,12.6221,2
AKAZE,155,7.57522,11.9644,3
AKAZE,163,7.73319,11.8184,4
AKAZE,164,7.68803,11.4138,5
AKAZE,173,7.73878,11.7812,6
AKAZE,175,7.82613,12.3183,7
AKAZE,177,7.81555,12.2047,8
AKAZE,179,7.88575,12.9699,9
AKAZE,166,7.72917,15.3807,0
AKAZE,157,7.4902,12.4226,1
AKAZE,161,7.45211,12.6221,2
AKAZE,155,7.57522,11.9644,3
AKAZE,163,7.73319,11.8184,4
AKAZE,164,7.68803,11.4138,5
AKAZE,173,7.73878,11.7812,6
AKAZE,175,7.82613,12.3183,7
AKAZE,177,7.81555,12.2047,8
AKAZE,179,7.88575,12.9699,9
AKAZE,166,7.72917,15.3807,0
AKAZE,157,7.4902,12.4226,1
AKAZE,161,7.45211,12.6221,2
AKAZE,155,7.57522,11.9644,3
AKAZE,163,7.73319,11.8184,4
AKAZE,164,7.68803,11.4138,5
AKAZE,173,7.73878,11.7812,6
AKAZE,175,7.82613,12.3183,7
AKAZE,177,7.81555,12.2047,8
AKAZE,179,7.88575,12.9699,9
SIFT,138,4.98472,35.1615,0
SIFT,132,5.0898,38.1061,1
SIFT,124,4.93926,36.2422,2
SIFT,138,4.71445,27.2999,3
SIFT,134,4.71959,30.3654,4
SIFT,140,4.68397,31.0978,5
SIFT,137,5.40798,42.428,6
SIFT,148,4.62187,26.4554,7
SIFT,159,5.51997,44.4893,8
SIFT,137,5.62509,44.6381,9
SIFT,138,4.98472,35.1615,0
SIFT,132,5.0898,38.1061,1
SIFT,124,4.93926,36.2422,2
SIFT,138,4.71445,27.2999,3
SIFT,134,4.71959,30.3654,4
SIFT,140,4.68397,31.0978,5
SIFT,137,5.40798,42.428,6
SIFT,148,4.62187,26.4554,7
SIFT,159,5.51997,44.4893,8
SIFT,137,5.62509,44.6381,9
SIFT,138,4.98472,35.1615,0
SIFT,132,5.0898,38.1061,1
SIFT,124,4.93926,36.2422,2
SIFT,138,4.71445,27.2999,3
SIFT,134,4.71959,30.3654,4
SIFT,140,4.68397,31.0978,5
SIFT,137,5.40798,42.428,6
SIFT,148,4.62187,26.4554,7
SIFT,159,5.51997,44.4893,8
SIFT,137,5.62509,44.6381,9
SIFT,138,4.98472,35.1615,0
SIFT,132,5.0898,38.1061,1
SIFT,124,4.93926,36.2422,2
SIFT,138,4.71445,27.2999,3
SIFT,134,4.71959,30.3654,4
SIFT,140,4.68397,31.0978,5
SIFT,137,5.40798,42.428,6
SIFT,148,4.62187,26.4554,7
SIFT,159,5.51997,44.4893,8
SIFT,137,5.62509,44.6381,9
SIFT,138,4.98472,35.1615,0
SIFT,132,5.0898,38.1061,1
SIFT,124,4.93926,36.2422,2
SIFT,138,4.71445,27.2999,3
SIFT,134,4.71959,30.3654,4
SIFT,140,4.68397,31.0978,5
SIFT,137,5.40798,42.428,6
SIFT,148,4.62187,26.4554,7
SIFT,159,5.51997,44.4893,8
SIFT,137,5.62509,44.6381,9
